Symbol,Name,MktVal Co,DPS 25,DPS 24,DPS 23,DPS 22,DPS 21,DPS 20,DPS 19,DPS 18,DPS 17,DPS 16,DPS 15,DPS 14,DPS 13,DPS 12,DPS 11,DPS 10
CNC,Centene Corporation,"13,908.0",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNCK,Coincheck Group N.V.,769.2,0.00,0.00,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CNDT,"Conduent, Inc.",420.8,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CNGO,"Cengage Learning Holdings II, Inc.","1,466.4",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A
CNH,CNH Industrial NV,"16,192.6",0.25,0.47,0.4,0.3,0.1,0.0,0.2,0.2,0.1,0.1,0.2,0.3,0.0,2.2,0.0,0.0
CNK,"Cinemark Holdings, Inc.","3,475.7",0.00,0.00,0.0,0.0,0.4,1.4,1.3,1.2,1.1,1.0,1.0,0.9,0.8,0.8,0.8,0.7
CNM,"Core & Main, Inc. Class A","12,221.9",0.00,0.00,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CNMD,CONMED Corporation,"1,474.0",0.80,0.80,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.0,0.0,0.0
CNND,Canandaigua National Corporation,307.2,9.20,9.00,9.0,8.2,7.1,6.5,5.2,4.6,4.0,3.8,3.7,3.4,3.2,2.9,2.9,2.6
CNNE,"Cannae Holdings, Inc.","1,353.7",0.36,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A
CNO,"CNO Financial Group, Inc.","3,736.6",0.63,0.59,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.0,0.0,0.0
CNOB,"ConnectOne Bancorp, Inc.","1,261.7",0.72,0.68,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.2
